Wall time,Step,Value
1565733384.3138702,50,0.19140625
1565733385.3346756,60,0.19921875
1565733389.8268359,100,0.328125
1565733390.876363,110,0.24609375
1565733394.0180132,140,0.23828125
1565733395.0605178,150,0.34765625
1565733398.1123137,180,0.38671875
1565733399.1376283,190,0.35546875
1565733400.422694,200,0.37109375
1565733404.543207,240,0.3671875
1565733413.91895,330,0.3671875
1565733417.0417695,360,0.41015625
1565733421.2213,400,0.3671875
1565733423.3070047,420,0.35546875
1565733425.382527,440,0.37890625
1565733426.3853872,450,0.39453125
1565733428.467061,470,0.41796875
1565733430.5080967,490,0.37890625
1565733434.8920963,530,0.34765625
1565733435.929014,540,0.359375
1565733436.9666584,550,0.34765625
1565733438.0133455,560,0.41015625
1565733439.0503356,570,0.41015625
1565733445.347533,630,0.4375
1565733447.4488087,650,0.41015625
1565733448.4845173,660,0.43359375
1565733449.5187533,670,0.36328125
1565733450.5642145,680,0.41796875
1565733454.0164347,710,0.3984375
1565733455.0660825,720,0.44921875
1565733456.1183298,730,0.42578125
1565733457.1677604,740,0.4140625
1565733462.3059015,790,0.28515625
1565733467.3877,840,0.4453125
1565733470.512028,870,0.46875
1565733471.5634925,880,0.3984375
1565733478.0130932,940,0.48046875
1565733486.5546033,1020,0.390625
1565733489.6710668,1050,0.39453125
1565733490.7221239,1060,0.359375
1565733498.246257,1130,0.44921875
1565733501.336619,1160,0.3828125
1565733503.398278,1180,0.421875
1565733510.7605064,1250,0.44140625
1565733511.8005607,1260,0.4453125
1565733514.9596455,1290,0.5
1565733516.024476,1300,0.40234375
1565733523.3213727,1370,0.34375
1565733525.4205694,1390,0.4921875
1565733527.5350983,1410,0.3984375
1565733528.5785768,1420,0.47265625
1565733529.6245446,1430,0.51171875
1565733536.9212985,1500,0.53515625
1565733542.077285,1550,0.51171875
1565733544.1809459,1570,0.4296875
1565733545.252245,1580,0.3984375
1565733546.3237402,1590,0.515625
1565733549.4864228,1620,0.4609375
1565733552.5743427,1650,0.4375
1565733554.660001,1670,0.4765625
1565733555.712175,1680,0.45703125
1565733558.8507872,1710,0.41015625
1565733565.0045211,1770,0.40625
1565733566.0126889,1780,0.46875
1565733568.1145797,1800,0.50390625
1565733571.1970952,1830,0.41796875
1565733573.2373092,1850,0.4453125
1565733574.2831857,1860,0.43359375
1565733576.3742008,1880,0.45703125
1565733578.4447577,1900,0.45703125
1565733579.485936,1910,0.4765625
1565733586.677879,1980,0.47265625
1565733595.2692404,2060,0.4375
1565733596.2872798,2070,0.484375
1565733597.309491,2080,0.46484375
1565733601.3874767,2120,0.5078125
1565733612.0639262,2220,0.44140625
1565733613.095937,2230,0.4609375
1565733615.1841855,2250,0.484375
1565733617.279641,2270,0.51953125
1565733619.3730724,2290,0.46875
1565733622.8174531,2320,0.4609375
1565733623.8766897,2330,0.44921875
1565733624.9220846,2340,0.49609375
1565733628.0276277,2370,0.4296875
1565733638.3269067,2470,0.45703125
1565733640.3828518,2490,0.4609375
1565733646.634259,2550,0.47265625
1565733649.778335,2580,0.5078125
1565733650.8302507,2590,0.49609375
1565733651.898061,2600,0.51953125
1565733652.9427497,2610,0.484375
1565733655.0416474,2630,0.5
1565733659.1607864,2670,0.4140625
1565733661.2016733,2690,0.42578125
1565733663.266195,2710,0.5078125
1565733665.3107114,2730,0.4921875
1565733670.5252335,2780,0.5078125
1565733676.7684643,2840,0.46875
