Wall time,Step,Value
1565964170.1211047,50,0.3125
1565964171.1737242,60,0.25390625
1565964175.6553564,100,0.24609375
1565964176.6668723,110,0.234375
1565964179.8064113,140,0.3046875
1565964180.8651357,150,0.33203125
1565964184.0074353,180,0.34375
1565964185.0602615,190,0.34375
1565964186.4233985,200,0.26953125
1565964190.6212547,240,0.25390625
1565964200.2843664,330,0.36328125
1565964203.3701382,360,0.30078125
1565964207.5359836,400,0.3671875
1565964209.6431928,420,0.375
1565964211.7426949,440,0.35546875
1565964212.7762077,450,0.37890625
1565964214.8718112,470,0.35546875
1565964216.9770231,490,0.359375
1565964221.0615501,530,0.35546875
1565964222.0948267,540,0.3671875
1565964223.1515298,550,0.3203125
1565964224.19901,560,0.35546875
1565964225.2533429,570,0.35546875
1565964231.5503724,630,0.390625
1565964233.6255722,650,0.39453125
1565964234.6696804,660,0.41796875
1565964235.7270246,670,0.37890625
1565964236.7858086,680,0.34375
1565964240.2462904,710,0.42578125
1565964241.2523847,720,0.40234375
1565964242.2848158,730,0.375
1565964243.3016543,740,0.4375
1565964248.5427806,790,0.375
1565964253.7229676,840,0.3984375
1565964256.8706436,870,0.3515625
1565964257.917483,880,0.3984375
1565964264.1984758,940,0.37890625
1565964272.8353586,1020,0.37109375
1565964275.9870217,1050,0.390625
1565964277.024123,1060,0.390625
1565964284.3838801,1130,0.4140625
1565964287.534254,1160,0.38671875
1565964289.6480567,1180,0.328125
1565964297.0232909,1250,0.36328125
1565964298.072537,1260,0.45703125
1565964301.2193544,1290,0.4296875
1565964302.506721,1300,0.36328125
1565964309.848772,1370,0.44140625
1565964311.9329321,1390,0.3828125
1565964314.3176122,1410,0.48828125
1565964315.3742378,1420,0.4765625
1565964316.4277983,1430,0.40234375
1565964323.8008783,1500,0.3671875
1565964329.0171695,1550,0.3984375
1565964331.088092,1570,0.453125
1565964332.1275163,1580,0.4140625
1565964333.169846,1590,0.421875
1565964336.3207285,1620,0.453125
1565964339.487863,1650,0.3984375
1565964341.6063328,1670,0.41796875
1565964342.651345,1680,0.43359375
1565964345.820726,1710,0.4296875
1565964352.115381,1770,0.48046875
1565964353.1367905,1780,0.46484375
1565964355.2678933,1800,0.41796875
1565964358.323943,1830,0.48828125
1565964360.400711,1850,0.4921875
1565964361.4215307,1860,0.42578125
1565964363.482138,1880,0.44140625
1565964365.8777075,1900,0.4609375
1565964366.9122891,1910,0.4453125
1565964374.2569065,1980,0.38671875
1565964382.842119,2060,0.4296875
1565964383.8725405,2070,0.4296875
1565964384.8941634,2080,0.46875
1565964389.1040154,2120,0.4375
1565964399.5709538,2220,0.42578125
1565964400.6186552,2230,0.43359375
1565964402.7042549,2250,0.44921875
1565964404.7898908,2270,0.40625
1565964406.863606,2290,0.44140625
1565964410.0323167,2320,0.44140625
1565964411.0478737,2330,0.42578125
1565964412.0945208,2340,0.44921875
1565964415.1965053,2370,0.48828125
1565964425.7026708,2470,0.4140625
1565964427.8148196,2490,0.48046875
1565964434.092416,2550,0.40234375
1565964437.2067244,2580,0.421875
1565964438.2501998,2590,0.44140625
1565964439.3159437,2600,0.3984375
1565964440.3410943,2610,0.44921875
1565964442.4316783,2630,0.45703125
1565964446.6557627,2670,0.42578125
1565964448.762549,2690,0.47265625
1565964450.808524,2710,0.5
1565964452.8799942,2730,0.53515625
1565964458.1509337,2780,0.48046875
1565964464.3371475,2840,0.4921875
1565964471.5829637,2910,0.46484375
1565964472.6302075,2920,0.46484375
1565964477.8505929,2970,0.4296875
1565964478.882075,2980,0.51171875
1565964482.2184596,3010,0.4765625
