Wall time,Step,Value
1565731325.6951187,30,3.189110040664673
1565731327.7766125,50,2.622385263442993
1565731328.8027167,60,2.442394733428955
1565731330.8676832,80,2.2775444984436035
1565731333.3545494,100,2.255552053451538
1565731334.3593626,110,2.2014873027801514
1565731336.456486,130,2.1590957641601562
1565731337.5096674,140,2.2018871307373047
1565731338.5566206,150,2.1220920085906982
1565731339.598767,160,2.187201976776123
1565731340.6505518,170,2.160329580307007
1565731341.683012,180,2.0425240993499756
1565731342.7155282,190,2.098356008529663
1565731344.0481193,200,2.105241060256958
1565731348.1392596,240,1.9492971897125244
1565731349.1833584,250,2.1029350757598877
1565731354.6867733,300,1.9095944166183472
1565731357.8282762,330,2.0434420108795166
1565731358.8823595,340,2.070603132247925
1565731360.9722896,360,1.9767869710922241
1565731364.072198,390,1.8359825611114502
1565731365.392972,400,1.9130499362945557
1565731367.4816964,420,1.8382354974746704
1565731368.527689,430,1.9350484609603882
1565731369.549191,440,1.8337783813476562
1565731370.5948477,450,2.0603480339050293
1565731372.683794,470,1.8198320865631104
1565731374.7712061,490,1.902429223060608
1565731376.1081882,500,1.88076651096344
1565731379.2726703,530,1.863309621810913
1565731380.3276997,540,1.7738659381866455
1565731381.3688238,550,1.836901307106018
1565731382.4110317,560,1.8935691118240356
1565731383.4689367,570,1.8975887298583984
1565731386.662552,600,1.9677116870880127
1565731387.72277,610,1.7321553230285645
1565731389.800698,630,1.9467449188232422
1565731391.851103,650,1.9516116380691528
1565731392.8817084,660,1.6896284818649292
1565731393.9214034,670,1.6992042064666748
1565731394.9542594,680,1.767867922782898
1565731397.9822435,710,1.781520962715149
1565731399.0026894,720,1.8396782875061035
1565731400.0370073,730,1.7923084497451782
1565731401.0575352,740,1.7836813926696777
1565731403.1530921,760,1.8683865070343018
1565731405.252828,780,1.8812613487243652
1565731406.2992535,790,1.9712055921554565
1565731411.826283,840,1.714410662651062
1565731412.9188106,850,1.7422926425933838
1565731413.9632356,860,1.7020540237426758
1565731415.0094955,870,1.8516266345977783
1565731416.0503557,880,1.7715085744857788
1565731417.0890567,890,1.8949246406555176
1565731422.2547505,940,1.6863335371017456
1565731430.892504,1020,1.7682980298995972
1565731432.9017644,1040,1.5851069688796997
1565731433.9211354,1050,1.7644990682601929
1565731434.9609804,1060,1.8075026273727417
1565731442.255064,1130,1.7319650650024414
1565731445.3450422,1160,1.774411678314209
1565731447.4438903,1180,1.7302155494689941
1565731448.462107,1190,1.7857383489608765
1565731449.5051956,1200,1.7321492433547974
1565731453.7006128,1240,1.7240757942199707
1565731454.7359674,1250,1.6901063919067383
1565731455.7878351,1260,1.8766300678253174
1565731458.924204,1290,1.864358901977539
1565731459.9838853,1300,1.5588011741638184
1565731463.1224902,1330,1.7480576038360596
1565731467.2101555,1370,1.765626311302185
1565731469.2763753,1390,1.7384183406829834
1565731471.3825588,1410,1.6817657947540283
1565731472.3954256,1420,1.7537615299224854
1565731473.4338756,1430,1.7569319009780884
1565731474.459431,1440,1.6771177053451538
1565731475.5013428,1450,1.6649699211120605
1565731476.5372326,1460,1.6573853492736816
1565731478.5794225,1480,1.7295780181884766
1565731480.6634617,1500,1.707075595855713
1565731483.76149,1530,1.5926982164382935
1565731484.761439,1540,1.6304105520248413
1565731485.7914965,1550,1.7663129568099976
1565731487.8793216,1570,1.7257838249206543
1565731488.9251885,1580,1.683120608329773
