,dataset,treatment,class,bin,low,high,ratio
0,FSS 24h a,0,low,2.0,2.0,4434.0,0.0004508566275924256
2,FSS 24h a,1,low,2.0,2.0,23.0,0.08
4,FSS 24h a,2,low,,,31.0,
6,FSS 24h a,3,low,,,459.0,
8,FSS 24h a,4,low,2.0,2.0,2104.0,0.000949667616334283
10,FSS 24h a,5,low,2.0,2.0,591.0,0.003372681281618887
12,FSS 24h a,6,low,1.0,1.0,655.0,0.001524390243902439
14,FSS 24h b,0,low,6.0,6.0,3887.0,0.0015412278448497304
16,FSS 24h b,1,low,,,9.0,
18,FSS 24h b,2,low,,,25.0,
20,FSS 24h b,3,low,,,352.0,
22,FSS 24h b,4,low,2.0,2.0,2872.0,0.0006958942240779402
24,FSS 24h b,5,low,2.0,2.0,303.0,0.006557377049180328
26,FSS 24h b,6,low,1.0,1.0,1095.0,0.0009124087591240876
28,FSS 24h c,0,low,1.0,1.0,4825.0,0.00020721094073767094
30,FSS 24h c,1,low,,,32.0,
32,FSS 24h c,2,low,1.0,1.0,64.0,0.015384615384615385
34,FSS 24h c,3,low,1.0,1.0,906.0,0.0011025358324145535
36,FSS 24h c,4,low,1.0,1.0,1285.0,0.0007776049766718507
38,FSS 24h c,5,low,,,619.0,
40,FSS 24h c,6,low,2.0,2.0,1085.0,0.0018399264029438822
42,FSS 24h d,0,low,5.0,5.0,3306.0,0.0015101177891875567
44,FSS 24h d,1,low,1.0,1.0,27.0,0.03571428571428571
46,FSS 24h d,2,low,1.0,1.0,68.0,0.014492753623188406
48,FSS 24h d,3,low,1.0,1.0,928.0,0.001076426264800861
50,FSS 24h d,4,low,2.0,2.0,2188.0,0.0009132420091324201
52,FSS 24h d,5,low,1.0,1.0,1022.0,0.0009775171065493646
54,FSS 24h d,6,low,3.0,3.0,1034.0,0.0028929604628736743
56,FSS 24h e,0,low,1.0,1.0,4016.0,0.00024894199651481205
58,FSS 24h e,1,low,,,47.0,
60,FSS 24h e,2,low,1.0,1.0,62.0,0.015873015873015872
62,FSS 24h e,3,low,,,619.0,
64,FSS 24h e,4,low,1.0,1.0,1975.0,0.0005060728744939271
66,FSS 24h e,5,low,,,879.0,
68,FSS 24h e,6,low,3.0,3.0,879.0,0.003401360544217687
70,FSS 24h f,0,low,,,4305.0,
72,FSS 24h f,1,low,,,45.0,
74,FSS 24h f,2,low,,,57.0,
76,FSS 24h f,3,low,1.0,1.0,532.0,0.001876172607879925
78,FSS 24h f,4,low,2.0,2.0,1491.0,0.0013395847287340924
80,FSS 24h f,5,low,,,1163.0,
82,FSS 24h f,6,low,,,952.0,
84,FSS 72h a,0,low,1.0,1.0,4827.0,0.00020712510356255177
86,FSS 72h a,1,low,2.0,2.0,23.0,0.08
88,FSS 72h a,2,low,,,40.0,
90,FSS 72h a,3,low,2.0,2.0,517.0,0.0038535645472061657
92,FSS 72h a,4,low,3.0,3.0,1824.0,0.0016420361247947454
94,FSS 72h a,5,low,1.0,1.0,648.0,0.0015408320493066256
