,dataset,sm,bin,smmax,treatment
0,FSS 24h a,0,1.2000000178813934,116,116
1,FSS 24h a,1,1.2000000178813934,7,7
2,FSS 24h a,2,0.9000000059604645,3,3
3,FSS 24h a,3,0.9000000059604645,26,26
4,FSS 24h a,4,1.2000000178813934,138,138
5,FSS 24h a,5,1.2000000178813934,113,113
6,FSS 24h a,6,1.2000000178813934,103,103
7,FSS 24h b,0,1.2000000178813934,146,146
8,FSS 24h b,1,0.9000000059604645,5,5
9,FSS 24h b,2,0.9000000059604645,2,2
10,FSS 24h b,3,0.9000000059604645,13,13
11,FSS 24h b,4,1.2000000178813934,163,163
12,FSS 24h b,5,1.2000000178813934,78,78
13,FSS 24h b,6,1.2000000178813934,141,141
14,FSS 24h c,0,1.2000000178813934,145,145
15,FSS 24h c,1,0.9000000059604645,8,8
16,FSS 24h c,2,1.2000000178813934,10,10
17,FSS 24h c,3,1.2000000178813934,42,42
18,FSS 24h c,4,1.2000000178813934,120,120
19,FSS 24h c,5,0.9000000059604645,116,116
20,FSS 24h c,6,1.2000000178813934,121,121
21,FSS 24h d,0,1.2000000178813934,187,187
22,FSS 24h d,1,1.2000000178813934,16,16
23,FSS 24h d,2,1.2000000178813934,14,14
24,FSS 24h d,3,1.2000000178813934,38,38
25,FSS 24h d,4,1.2000000178813934,196,196
26,FSS 24h d,5,1.2000000178813934,165,165
27,FSS 24h d,6,1.2000000178813934,187,187
28,FSS 24h e,0,1.2000000178813934,159,159
29,FSS 24h e,1,0.9000000059604645,13,13
30,FSS 24h e,2,1.2000000178813934,8,8
31,FSS 24h e,3,0.9000000059604645,41,41
32,FSS 24h e,4,1.2000000178813934,144,144
33,FSS 24h e,5,0.9000000059604645,137,137
34,FSS 24h e,6,1.2000000178813934,136,136
35,FSS 24h f,0,0.9000000059604645,164,164
36,FSS 24h f,1,0.9000000059604645,14,14
37,FSS 24h f,2,0.9000000059604645,5,5
38,FSS 24h f,3,1.2000000178813934,30,30
39,FSS 24h f,4,1.2000000178813934,146,146
40,FSS 24h f,5,0.9000000059604645,166,166
41,FSS 24h f,6,0.9000000059604645,155,155
42,FSS 72h a,0,1.2000000178813934,147,147
43,FSS 72h a,1,1.2000000178813934,6,6
44,FSS 72h a,2,0.9000000059604645,10,10
45,FSS 72h a,3,1.2000000178813934,21,21
46,FSS 72h a,4,1.2000000178813934,139,139
47,FSS 72h a,5,1.2000000178813934,97,97
48,FSS 72h a,6,1.2000000178813934,99,99
49,FSS 72h b,0,1.2000000178813934,158,158
50,FSS 72h b,1,1.2000000178813934,12,12
51,FSS 72h b,2,0.9000000059604645,15,15
52,FSS 72h b,3,1.2000000178813934,36,36
53,FSS 72h b,4,1.2000000178813934,184,184
54,FSS 72h b,5,1.2000000178813934,117,117
55,FSS 72h b,6,1.2000000178813934,139,139
56,FSS 72h c,0,1.2000000178813934,128,128
57,FSS 72h c,1,1.2000000178813934,25,25
58,FSS 72h c,2,1.2000000178813934,10,10
59,FSS 72h c,3,0.9000000059604645,40,40
60,FSS 72h c,4,1.2000000178813934,99,99
61,FSS 72h c,5,1.2000000178813934,76,76
62,FSS 72h c,6,1.2000000178813934,98,98
63,FSS 72h d,0,1.2000000178813934,198,198
64,FSS 72h d,1,0.9000000059604645,10,10
65,FSS 72h d,2,1.2000000178813934,22,22
66,FSS 72h d,3,1.2000000178813934,49,49
67,FSS 72h d,4,1.2000000178813934,141,141
68,FSS 72h d,5,1.2000000178813934,135,135
69,FSS 72h d,6,1.2000000178813934,168,168
70,FSS 72h e,0,1.2000000178813934,164,164
71,FSS 72h e,1,1.2000000178813934,10,10
72,FSS 72h e,2,1.2000000178813934,7,7
73,FSS 72h e,3,1.2000000178813934,22,22
74,FSS 72h e,4,1.2000000178813934,147,147
75,FSS 72h e,5,1.2000000178813934,148,148
76,FSS 72h e,6,1.2000000178813934,147,147
77,FSS 72h f,0,0.9000000059604645,57,57
78,FSS 72h f,1,0.9000000059604645,11,11
79,FSS 72h f,2,1.2000000178813934,12,12
80,FSS 72h f,3,0.9000000059604645,14,14
81,FSS 72h f,4,1.2000000178813934,52,52
82,FSS 72h f,5,0.9000000059604645,34,34
83,FSS 72h f,6,1.2000000178813934,48,48
84,LPS 24h a,0,1.2000000178813934,161,161
85,LPS 24h a,1,0.9000000059604645,9,9
86,LPS 24h a,2,1.2000000178813934,15,15
87,LPS 24h a,3,0.9000000059604645,24,24
88,LPS 24h a,4,1.2000000178813934,183,183
89,LPS 24h a,5,1.2000000178813934,147,147
90,LPS 24h a,6,0.9000000059604645,123,123
91,LPS 24h b,0,1.2000000178813934,157,157
92,LPS 24h b,1,1.2000000178813934,9,9
93,LPS 24h b,2,1.2000000178813934,7,7
94,LPS 24h b,3,0.9000000059604645,18,18
95,LPS 24h b,4,0.9000000059604645,134,134
96,LPS 24h b,5,1.2000000178813934,120,120
97,LPS 24h b,6,1.2000000178813934,112,112
98,LPS 24h c,0,1.2000000178813934,145,145
99,LPS 24h c,1,0.9000000059604645,4,4
100,LPS 24h c,2,1.2000000178813934,5,5
101,LPS 24h c,3,0.9000000059604645,24,24
102,LPS 24h c,4,1.2000000178813934,165,165
103,LPS 24h c,5,1.2000000178813934,133,133
