,dataset,bin,smmax,smmax,smmax,smmax,smmax,smmax,smmax
sm,,,0,1,2,3,4,5,6
0,FSS 24h a,0.30000001192092896,2.0,4.0,0.0,0.0,6.0,8.0,9.0
8,FSS 24h b,0.30000001192092896,6.0,0.0,0.0,0.0,8.0,10.0,11.0
16,FSS 24h c,0.30000001192092896,1.0,0.0,2.0,3.0,4.0,0.0,6.0
24,FSS 24h d,0.30000001192092896,5.0,6.0,7.0,8.0,10.0,11.0,14.0
32,FSS 24h e,0.30000001192092896,1.0,0.0,2.0,0.0,3.0,0.0,6.0
40,FSS 24h f,0.30000001192092896,0.0,0.0,0.0,1.0,3.0,0.0,0.0
48,FSS 72h a,0.30000001192092896,1.0,3.0,0.0,5.0,8.0,9.0,10.0
56,FSS 72h b,0.30000001192092896,6.0,7.0,0.0,9.0,13.0,16.0,19.0
64,FSS 72h c,0.30000001192092896,5.0,7.0,8.0,0.0,11.0,13.0,14.0
72,FSS 72h d,0.30000001192092896,5.0,0.0,6.0,7.0,9.0,11.0,13.0
80,FSS 72h e,0.30000001192092896,4.0,6.0,7.0,9.0,12.0,15.0,18.0
88,FSS 72h f,0.30000001192092896,0.0,0.0,1.0,0.0,2.0,0.0,3.0
96,LPS 24h a,0.30000001192092896,4.0,0.0,5.0,0.0,10.0,11.0,0.0
104,LPS 24h b,0.30000001192092896,3.0,5.0,6.0,0.0,0.0,11.0,12.0
112,LPS 24h c,0.30000001192092896,3.0,0.0,4.0,0.0,9.0,10.0,0.0
120,LPS 24h d,0.30000001192092896,2.0,3.0,0.0,5.0,7.0,10.0,12.0
128,LPS 24h e,0.30000001192092896,4.0,7.0,9.0,0.0,10.0,11.0,13.0
136,LPS 24h f,0.30000001192092896,3.0,6.0,7.0,0.0,0.0,12.0,13.0
144,LPS 72h a,0.30000001192092896,2.0,5.0,0.0,7.0,0.0,0.0,8.0
152,LPS 72h b,0.30000001192092896,2.0,5.0,6.0,8.0,9.0,12.0,0.0
160,LPS 72h c,0.30000001192092896,4.0,9.0,11.0,12.0,13.0,14.0,16.0
168,LPS 72h d,0.30000001192092896,1.0,0.0,0.0,0.0,3.0,4.0,6.0
176,LPS 72h e,0.30000001192092896,4.0,5.0,6.0,0.0,7.0,8.0,11.0
184,LPS 72h f,0.30000001192092896,2.0,4.0,5.0,0.0,0.0,7.0,8.0
1,FSS 24h a,0.4000000059604645,38.0,42.0,44.0,52.0,89.0,115.0,137.0
9,FSS 24h b,0.4000000059604645,42.0,44.0,45.0,47.0,74.0,94.0,120.0
17,FSS 24h c,0.4000000059604645,43.0,47.0,50.0,61.0,83.0,121.0,151.0
25,FSS 24h d,0.4000000059604645,68.0,75.0,79.0,91.0,135.0,173.0,213.0
33,FSS 24h e,0.4000000059604645,46.0,53.0,54.0,59.0,82.0,120.0,159.0
41,FSS 24h f,0.4000000059604645,38.0,43.0,45.0,56.0,86.0,123.0,164.0
49,FSS 72h a,0.4000000059604645,44.0,46.0,50.0,53.0,91.0,121.0,141.0
57,FSS 72h b,0.4000000059604645,68.0,72.0,79.0,90.0,128.0,160.0,192.0
65,FSS 72h c,0.4000000059604645,46.0,59.0,63.0,72.0,97.0,122.0,143.0
73,FSS 72h d,0.4000000059604645,66.0,71.0,76.0,84.0,121.0,158.0,197.0
81,FSS 72h e,0.4000000059604645,47.0,49.0,50.0,53.0,84.0,112.0,145.0
89,FSS 72h f,0.4000000059604645,16.0,17.0,22.0,24.0,34.0,44.0,56.0
97,LPS 24h a,0.4000000059604645,54.0,57.0,62.0,68.0,111.0,146.0,175.0
105,LPS 24h b,0.4000000059604645,51.0,54.0,58.0,64.0,92.0,116.0,148.0
113,LPS 24h c,0.4000000059604645,46.0,49.0,52.0,59.0,102.0,128.0,165.0
121,LPS 24h d,0.4000000059604645,50.0,56.0,60.0,67.0,98.0,130.0,165.0
129,LPS 24h e,0.4000000059604645,51.0,53.0,57.0,62.0,108.0,148.0,182.0
137,LPS 24h f,0.4000000059604645,43.0,53.0,58.0,67.0,97.0,128.0,153.0
145,LPS 72h a,0.4000000059604645,39.0,43.0,49.0,54.0,89.0,122.0,157.0
153,LPS 72h b,0.4000000059604645,57.0,58.0,63.0,72.0,101.0,125.0,153.0
161,LPS 72h c,0.4000000059604645,48.0,52.0,58.0,68.0,91.0,128.0,157.0
169,LPS 72h d,0.4000000059604645,59.0,63.0,68.0,74.0,108.0,151.0,200.0
177,LPS 72h e,0.4000000059604645,53.0,58.0,62.0,71.0,112.0,138.0,176.0
185,LPS 72h f,0.4000000059604645,40.0,41.0,42.0,49.0,74.0,109.0,133.0
2,FSS 24h a,0.5,222.0,223.0,224.0,242.0,341.0,426.0,506.0
10,FSS 24h b,0.5,229.0,232.0,233.0,244.0,378.0,434.0,548.0
18,FSS 24h c,0.5,258.0,262.0,268.0,298.0,395.0,473.0,562.0
26,FSS 24h d,0.5,341.0,349.0,358.0,383.0,533.0,659.0,803.0
34,FSS 24h e,0.5,277.0,283.0,289.0,325.0,445.0,544.0,638.0
42,FSS 24h f,0.5,293.0,302.0,305.0,323.0,437.0,566.0,680.0
50,FSS 72h a,0.5,253.0,255.0,261.0,277.0,375.0,441.0,519.0
58,FSS 72h b,0.5,295.0,302.0,310.0,333.0,475.0,557.0,661.0
66,FSS 72h c,0.5,234.0,244.0,249.0,280.0,351.0,400.0,476.0
74,FSS 72h d,0.5,337.0,342.0,358.0,398.0,500.0,596.0,723.0
82,FSS 72h e,0.5,276.0,282.0,287.0,304.0,417.0,534.0,645.0
90,FSS 72h f,0.5,100.0,110.0,116.0,128.0,169.0,193.0,228.0
98,LPS 24h a,0.5,289.0,295.0,304.0,322.0,457.0,568.0,662.0
106,LPS 24h b,0.5,263.0,267.0,269.0,281.0,387.0,478.0,557.0
114,LPS 24h c,0.5,271.0,272.0,273.0,290.0,407.0,513.0,601.0
122,LPS 24h d,0.5,289.0,298.0,304.0,327.0,443.0,549.0,666.0
130,LPS 24h e,0.5,315.0,318.0,0.0,328.0,465.0,600.0,699.0
138,LPS 24h f,0.5,262.0,273.0,284.0,315.0,423.0,527.0,635.0
146,LPS 72h a,0.5,263.0,271.0,276.0,289.0,424.0,537.0,646.0
154,LPS 72h b,0.5,277.0,282.0,291.0,317.0,427.0,503.0,587.0
162,LPS 72h c,0.5,270.0,273.0,277.0,301.0,436.0,552.0,637.0
170,LPS 72h d,0.5,325.0,326.0,335.0,369.0,505.0,618.0,728.0
178,LPS 72h e,0.5,304.0,313.0,318.0,338.0,442.0,573.0,704.0
186,LPS 72h f,0.5,259.0,262.0,264.0,274.0,382.0,478.0,581.0
3,FSS 24h a,0.6000000238418579,677.0,679.0,680.0,730.0,869.0,978.0,1097.0
11,FSS 24h b,0.6000000238418579,747.0,0.0,749.0,781.0,1008.0,1086.0,1251.0
19,FSS 24h c,0.6000000238418579,795.0,801.0,818.0,896.0,1073.0,1172.0,1344.0
27,FSS 24h d,0.6000000238418579,1032.0,1037.0,1046.0,1104.0,1350.0,1511.0,1696.0
35,FSS 24h e,0.6000000238418579,875.0,885.0,896.0,950.0,1164.0,1303.0,1476.0
43,FSS 24h f,0.6000000238418579,909.0,920.0,932.0,975.0,1153.0,1328.0,1509.0
51,FSS 72h a,0.6000000238418579,747.0,749.0,752.0,813.0,1003.0,1124.0,1263.0
