,dataset,probability,cluster,count
0,FSS 24h a,0.30000001192092896,0,2
1,FSS 24h a,0.30000001192092896,1,4
2,FSS 24h a,0.30000001192092896,4,6
3,FSS 24h a,0.30000001192092896,5,8
4,FSS 24h a,0.30000001192092896,6,9
54,FSS 24h b,0.30000001192092896,0,6
55,FSS 24h b,0.30000001192092896,4,8
56,FSS 24h b,0.30000001192092896,5,10
57,FSS 24h b,0.30000001192092896,6,11
105,FSS 24h c,0.30000001192092896,0,1
106,FSS 24h c,0.30000001192092896,2,2
107,FSS 24h c,0.30000001192092896,3,3
108,FSS 24h c,0.30000001192092896,4,4
109,FSS 24h c,0.30000001192092896,6,6
159,FSS 24h d,0.30000001192092896,0,5
160,FSS 24h d,0.30000001192092896,1,6
161,FSS 24h d,0.30000001192092896,2,7
162,FSS 24h d,0.30000001192092896,3,8
163,FSS 24h d,0.30000001192092896,4,10
164,FSS 24h d,0.30000001192092896,5,11
165,FSS 24h d,0.30000001192092896,6,14
214,FSS 24h e,0.30000001192092896,0,1
215,FSS 24h e,0.30000001192092896,2,2
216,FSS 24h e,0.30000001192092896,4,3
217,FSS 24h e,0.30000001192092896,6,6
267,FSS 24h f,0.30000001192092896,3,1
268,FSS 24h f,0.30000001192092896,4,3
318,FSS 72h a,0.30000001192092896,0,1
319,FSS 72h a,0.30000001192092896,1,3
320,FSS 72h a,0.30000001192092896,3,5
321,FSS 72h a,0.30000001192092896,4,8
322,FSS 72h a,0.30000001192092896,5,9
323,FSS 72h a,0.30000001192092896,6,10
373,FSS 72h b,0.30000001192092896,0,6
374,FSS 72h b,0.30000001192092896,1,7
375,FSS 72h b,0.30000001192092896,3,9
376,FSS 72h b,0.30000001192092896,4,13
377,FSS 72h b,0.30000001192092896,5,16
378,FSS 72h b,0.30000001192092896,6,19
427,FSS 72h c,0.30000001192092896,0,5
428,FSS 72h c,0.30000001192092896,1,7
429,FSS 72h c,0.30000001192092896,2,8
430,FSS 72h c,0.30000001192092896,4,11
431,FSS 72h c,0.30000001192092896,5,13
432,FSS 72h c,0.30000001192092896,6,14
482,FSS 72h d,0.30000001192092896,0,5
483,FSS 72h d,0.30000001192092896,2,6
484,FSS 72h d,0.30000001192092896,3,7
485,FSS 72h d,0.30000001192092896,4,9
486,FSS 72h d,0.30000001192092896,5,11
487,FSS 72h d,0.30000001192092896,6,13
537,FSS 72h e,0.30000001192092896,0,4
538,FSS 72h e,0.30000001192092896,1,6
539,FSS 72h e,0.30000001192092896,2,7
540,FSS 72h e,0.30000001192092896,3,9
541,FSS 72h e,0.30000001192092896,4,12
542,FSS 72h e,0.30000001192092896,5,15
543,FSS 72h e,0.30000001192092896,6,18
592,FSS 72h f,0.30000001192092896,2,1
593,FSS 72h f,0.30000001192092896,4,2
594,FSS 72h f,0.30000001192092896,6,3
644,LPS 24h a,0.30000001192092896,0,4
645,LPS 24h a,0.30000001192092896,2,5
646,LPS 24h a,0.30000001192092896,4,10
647,LPS 24h a,0.30000001192092896,5,11
697,LPS 24h b,0.30000001192092896,0,3
698,LPS 24h b,0.30000001192092896,1,5
699,LPS 24h b,0.30000001192092896,2,6
700,LPS 24h b,0.30000001192092896,5,11
701,LPS 24h b,0.30000001192092896,6,12
750,LPS 24h c,0.30000001192092896,0,3
751,LPS 24h c,0.30000001192092896,2,4
752,LPS 24h c,0.30000001192092896,4,9
753,LPS 24h c,0.30000001192092896,5,10
803,LPS 24h d,0.30000001192092896,0,2
804,LPS 24h d,0.30000001192092896,1,3
805,LPS 24h d,0.30000001192092896,3,5
806,LPS 24h d,0.30000001192092896,4,7
807,LPS 24h d,0.30000001192092896,5,10
808,LPS 24h d,0.30000001192092896,6,12
858,LPS 24h e,0.30000001192092896,0,4
859,LPS 24h e,0.30000001192092896,1,7
860,LPS 24h e,0.30000001192092896,2,9
861,LPS 24h e,0.30000001192092896,4,10
862,LPS 24h e,0.30000001192092896,5,11
863,LPS 24h e,0.30000001192092896,6,13
911,LPS 24h f,0.30000001192092896,0,3
912,LPS 24h f,0.30000001192092896,1,6
913,LPS 24h f,0.30000001192092896,2,7
914,LPS 24h f,0.30000001192092896,5,12
915,LPS 24h f,0.30000001192092896,6,13
965,LPS 72h a,0.30000001192092896,0,2
966,LPS 72h a,0.30000001192092896,1,5
967,LPS 72h a,0.30000001192092896,3,7
968,LPS 72h a,0.30000001192092896,6,8
1018,LPS 72h b,0.30000001192092896,0,2
1019,LPS 72h b,0.30000001192092896,1,5
1020,LPS 72h b,0.30000001192092896,2,6
1021,LPS 72h b,0.30000001192092896,3,8
1022,LPS 72h b,0.30000001192092896,4,9
1023,LPS 72h b,0.30000001192092896,5,12
1073,LPS 72h c,0.30000001192092896,0,4
1074,LPS 72h c,0.30000001192092896,1,9
1075,LPS 72h c,0.30000001192092896,2,11
1076,LPS 72h c,0.30000001192092896,3,12
1077,LPS 72h c,0.30000001192092896,4,13
1078,LPS 72h c,0.30000001192092896,5,14
1079,LPS 72h c,0.30000001192092896,6,16
1129,LPS 72h d,0.30000001192092896,0,1
1130,LPS 72h d,0.30000001192092896,4,3
1131,LPS 72h d,0.30000001192092896,5,4
1132,LPS 72h d,0.30000001192092896,6,6
1182,LPS 72h e,0.30000001192092896,0,4
1183,LPS 72h e,0.30000001192092896,1,5
1184,LPS 72h e,0.30000001192092896,2,6
1185,LPS 72h e,0.30000001192092896,4,7
1186,LPS 72h e,0.30000001192092896,5,8
1187,LPS 72h e,0.30000001192092896,6,11
1237,LPS 72h f,0.30000001192092896,0,2
1238,LPS 72h f,0.30000001192092896,1,4
1239,LPS 72h f,0.30000001192092896,2,5
1240,LPS 72h f,0.30000001192092896,5,7
1241,LPS 72h f,0.30000001192092896,6,8
5,FSS 24h a,0.4000000059604645,0,38
6,FSS 24h a,0.4000000059604645,1,42
7,FSS 24h a,0.4000000059604645,2,44
8,FSS 24h a,0.4000000059604645,3,52
9,FSS 24h a,0.4000000059604645,4,89
10,FSS 24h a,0.4000000059604645,5,115
11,FSS 24h a,0.4000000059604645,6,137
58,FSS 24h b,0.4000000059604645,0,42
59,FSS 24h b,0.4000000059604645,1,44
60,FSS 24h b,0.4000000059604645,2,45
61,FSS 24h b,0.4000000059604645,3,47
62,FSS 24h b,0.4000000059604645,4,74
63,FSS 24h b,0.4000000059604645,5,94
64,FSS 24h b,0.4000000059604645,6,120
110,FSS 24h c,0.4000000059604645,0,43
111,FSS 24h c,0.4000000059604645,1,47
112,FSS 24h c,0.4000000059604645,2,50
113,FSS 24h c,0.4000000059604645,3,61
114,FSS 24h c,0.4000000059604645,4,83
115,FSS 24h c,0.4000000059604645,5,121
116,FSS 24h c,0.4000000059604645,6,151
166,FSS 24h d,0.4000000059604645,0,68
167,FSS 24h d,0.4000000059604645,1,75
168,FSS 24h d,0.4000000059604645,2,79
169,FSS 24h d,0.4000000059604645,3,91
170,FSS 24h d,0.4000000059604645,4,135
171,FSS 24h d,0.4000000059604645,5,173
172,FSS 24h d,0.4000000059604645,6,213
218,FSS 24h e,0.4000000059604645,0,46
219,FSS 24h e,0.4000000059604645,1,53
220,FSS 24h e,0.4000000059604645,2,54
221,FSS 24h e,0.4000000059604645,3,59
222,FSS 24h e,0.4000000059604645,4,82
223,FSS 24h e,0.4000000059604645,5,120
224,FSS 24h e,0.4000000059604645,6,159
269,FSS 24h f,0.4000000059604645,0,38
