,index,sm,smmax,dataset,directory,cell_id,channel
0,0,0,0.9889248,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,10,1
1,1,4,0.5473249,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,89,1
2,2,4,0.542458,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,255,1
3,3,0,0.99414647,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,398,1
4,4,0,0.65803164,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,535,1
5,5,4,0.9935261,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,615,1
6,6,0,0.98149556,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,666,1
7,7,0,0.9923718,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,798,1
8,8,0,0.9876722,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,890,1
9,9,4,0.99053884,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,1031,1
10,10,6,0.68722814,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,1032,1
11,11,0,0.9984804,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,1337,1
12,12,0,0.99904865,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,1679,1
13,13,0,0.9885642,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,1778,1
14,14,4,0.9677711,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,2082,1
15,15,4,0.98638725,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,2352,1
16,16,0,0.9998832,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,2410,1
17,17,0,0.998357,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,2501,1
18,18,4,0.98016936,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,2987,1
19,19,4,0.7753546,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,3065,1
20,20,4,0.93614393,phago_only_PhagoOnly_R3.mm,PhagoOnly_R3,3106,1
